ds,yhat
2025-03-07,172.29038233053768
2025-03-08,171.56201029443264
2025-03-09,171.32063283849016
2025-03-10,171.76334794562814
2025-03-11,171.4899720195511
2025-03-12,171.4646055723694
2025-03-13,171.25835904535575
2025-03-14,171.20070266297515
2025-03-15,170.76103287979336
2025-03-16,170.7921897468547
2025-03-17,171.48890010475358
2025-03-18,171.44901995348485
2025-03-19,171.63511088702458
2025-03-20,171.61716797660802
2025-03-21,171.7239633401155
2025-03-22,171.42459846366262
2025-03-23,171.57200026082813
2025-03-24,172.36133656835108
2025-03-25,172.39122533048823
2025-03-26,172.62527334853672
2025-03-27,172.63476302924988
2025-03-28,172.74995245446354
2025-03-29,172.44158293212786
2025-03-30,172.5643300919095
2025-03-31,173.315175261421
2025-04-01,173.29457234904726
2025-04-02,173.46794699984437
2025-04-03,173.4083472464039
2025-04-04,173.44771164815052
2025-04-05,173.05834962158383
2025-04-06,173.09637042954316
2025-04-07,173.76003782791827
2025-04-08,173.65092571404892
2025-04-09,173.73541151941396
2025-04-10,173.5873264074444
2025-04-11,173.53922798024544
2025-04-12,173.06388978933757
2025-04-13,173.01774360724062
2025-04-14,173.59925085872786
2025-04-15,173.41007788591097
2025-04-16,173.41661106762027
2025-04-17,173.19263009951595
2025-04-18,173.0706043718961
2025-04-19,172.52320598081707
2025-04-20,172.40677459630535
2025-04-21,172.91970989812714
2025-04-22,172.66366562608698
2025-04-23,172.60508071433182
2025-04-24,172.3178653539727
2025-04-25,172.13470655805844
2025-04-26,171.5285865086187
